VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2020-01-01 00:42:08,2020-01-01 01:15:58,N,1,181,74,1,12.87,37,0.5,0.5,8.21,0,,0.3,49.26,1,1,2.75
1,2020-01-01 00:37:29,2020-01-01 00:59:12,N,1,97,133,2,4.30,18.5,0.5,0.5,4.95,0,,0.3,24.75,1,1,0
2,2020-01-01 00:10:38,2020-01-01 00:15:30,N,1,43,236,1,.94,5.5,0.5,0.5,0,0,,0.3,9.55,2,1,2.75
2,2020-01-01 00:28:48,2020-01-01 00:38:42,N,1,41,74,1,1.20,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,2020-01-01 00:15:09,2020-01-01 00:37:32,N,1,255,181,1,5.54,20,0.5,0.5,0,0,,0.3,21.3,2,1,0
2,2020-01-01 00:14:24,2020-01-01 00:23:57,N,1,41,247,1,1.86,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,2020-01-01 00:46:14,2020-01-01 00:51:38,N,1,74,41,1,.80,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:53:19,2020-01-01 00:59:28,N,1,41,74,1,.89,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
2,2020-01-01 00:14:16,2020-01-01 00:19:52,N,1,36,37,2,1.17,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,2020-01-01 00:34:27,2020-01-01 00:38:00,N,1,36,80,2,.43,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2020-01-01 00:46:38,2020-01-01 01:14:43,N,1,36,113,2,5.36,21.5,0.5,0.5,5.11,0,,0.3,30.66,1,1,2.75
2,2020-01-01 00:10:51,2020-01-01 00:37:28,N,1,255,112,1,4.09,18.5,0.5,0.5,3.96,0,,0.3,23.76,1,1,0
2,2020-01-01 00:55:29,2020-01-01 01:13:33,N,1,36,256,1,2.96,13.5,0.5,0.5,3.7,0,,0.3,18.5,1,1,0
2,2020-01-01 00:09:38,2020-01-01 00:38:34,N,1,66,112,5,4.62,23.5,0.5,0.5,7.44,0,,0.3,32.24,1,1,0
2,2020-01-01 00:40:37,2020-01-01 00:48:09,N,1,112,80,2,1.52,7.5,0.5,0.5,1,0,,0.3,9.8,1,1,0
2,2020-01-01 00:55:51,2020-01-01 01:01:58,N,1,80,256,2,.71,-5.5,-0.5,-0.5,0,0,,-0.3,-6.8,3,1,0
2,2020-01-01 00:55:51,2020-01-01 01:01:58,N,1,80,256,2,.71,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:33:49,2020-01-01 00:41:59,N,1,7,260,1,1.24,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-01-01 00:48:40,2020-01-01 00:55:04,N,1,7,179,1,.78,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,2020-01-01 00:05:44,2020-01-01 00:21:29,N,1,42,167,5,2.80,12,0.5,0.5,1,0,,0.3,14.3,1,1,0
2,2020-01-01 00:04:25,2020-01-01 00:13:22,N,1,66,144,1,2.30,9.5,0.5,0.5,0,0,,0.3,13.55,2,1,2.75
2,2020-01-01 00:22:25,2020-01-01 00:55:36,N,1,66,164,1,6.34,27,0.5,0.5,0,0,,0.3,31.05,2,1,2.75
2,2020-01-01 00:48:42,2020-01-01 00:58:49,N,1,116,41,1,1.97,9.5,0.5,0.5,2,0,,0.3,14.75,1,1,0
